Function                                  CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module             Function (Full)                                 Source File           Start Address
H5C__make_space_in_cache                    0.290s                   0.290s                            0s                        0.290s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5C__make_space_in_cache                        H5C.c                 0xec709      
H5O_attr_decode                             0.280s                   0.280s                            0s                        0.280s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_attr_decode                                 H5Oattr.c             0x394775     
nc4_convert_type                            0.280s                   0.280s                        0.010s                        0.270s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18    nc4_convert_type                                [Unknown]             0xe19e2      
__strcmp_sse42                              0.280s                   0.280s                            0s                        0.280s                          0s                             0s                            0s                  0s                      0s  libc.so.6          __strcmp_sse42                                  [Unknown]             0x13ed90     
H5FL_blk_malloc                             0.280s                   0.280s                            0s                        0.280s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_blk_malloc                                 H5FL.c                0x27737a     
H5HF__man_op_real                           0.280s                   0.280s                            0s                        0.280s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5HF__man_op_real                               H5HFman.c             0x30ee99     
H5FL_blk_free                               0.279s                   0.279s                            0s                        0.279s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_blk_free                                   H5FL.c                0x27789c     
H5SL_below                                  0.270s                   0.270s                            0s                        0.270s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_below                                      H5SL.c                0x5295c7     
H5O__sdspace_decode                         0.270s                   0.270s                            0s                        0.270s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O__sdspace_decode                             H5Osdspace.c          0x3feba4     
H5FL_reg_calloc                             0.260s                   0.260s                            0s                        0.260s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_reg_calloc                                 H5FL.c                0x2762f9     
H5T_cmp                                     0.250s                   0.250s                            0s                        0.250s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5T_cmp                                         H5T.c                 0x5586ad     
H5I__find_id                                0.249s                   0.249s                        0.010s                        0.239s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5I__find_id                                    H5I.c                 0x344b75     
nc_unsafe_get_property                      0.240s                   0.240s                        0.010s                        0.230s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18    nc_unsafe_get_property                          [Unknown]             0x45aff      
free                                        0.226s                   0.226s                        0.030s                        0.196s                          0s                             0s                            0s                  0s                      0s  libc.so.6          free                                            [Unknown]             0x85ad0      
H5C_verify_tag                              0.220s                   0.220s                            0s                        0.220s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5C_verify_tag                                  H5Ctag.c              0x120f01     
H5CX_get_tag                                0.220s                   0.220s                            0s                        0.220s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5CX_get_tag                                    H5CX.c                0x126979     
calloc                                      0.215s                   0.215s                        0.030s                        0.185s                          0s                             0s                            0s                  0s                      0s  libc.so.6          calloc                                          [Unknown]             0x860d0      
nc_utf8proc_decompose_char                  0.211s                   0.211s                        0.020s                        0.191s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18    nc_utf8proc_decompose_char                      [Unknown]             0x46029      
H5SL_insert                                 0.210s                   0.210s                            0s                        0.210s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_insert                                     H5SL.c                0x50e932     
crc32_z                                     0.208s                   0.208s                            0s                        0.208s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18    crc32_z                                         [Unknown]             0x41729      
H5I_register                                0.200s                   0.200s                            0s                        0.200s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5I_register                                    H5I.c                 0x33eda7     
__strlen_sse2_pminub                        0.190s                   0.190s                            0s                        0.190s                          0s                             0s                            0s                  0s                      0s  libc.so.6          __strlen_sse2_pminub                            [Unknown]             0x16f680     
H5AC_tag                                    0.180s                   0.180s                            0s                        0.180s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5AC_tag                                        H5AC.c                0x90544      
H5O_protect                                 0.180s                   0.180s                        0.010s                        0.170s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_protect                                     H5Oint.c              0x3d7d24     
H5T_close_real                              0.180s                   0.180s                            0s                        0.180s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5T_close_real                                  H5T.c                 0x5571a5     
H5AC__verify_tag                            0.180s                   0.180s                            0s                        0.180s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5AC__verify_tag                                H5AC.c                0x915b2      
nc_utf8proc_decompose_custom                0.179s                   0.179s                        0.030s                        0.149s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18    nc_utf8proc_decompose_custom                    [Unknown]             0x466a9      
H5CX_set_tag                                0.170s                   0.170s                            0s                        0.170s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5CX_set_tag                                    H5CX.c                0x12b4b8     
H5VL_reset_vol_wrapper                      0.170s                   0.170s                            0s                        0.170s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5VL_reset_vol_wrapper                          H5VLint.c             0x6b1fda     
H5MM_xfree                                  0.170s                   0.170s                            0s                        0.170s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5MM_xfree                                      H5MM.c                0x37317a     
H5SL_iterate                                0.170s                   0.170s                            0s                        0.170s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_iterate                                    H5SL.c                0x52cd46     
H5FL_arr_free                               0.170s                   0.170s                            0s                        0.170s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_arr_free                                   H5FL.c                0x27880d     
H5O__move_msgs_forward                      0.170s                   0.170s                            0s                        0.170s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O__move_msgs_forward                          H5Oalloc.c            0x38ea2f     
qsort_r                                     0.160s                   0.160s                        0.010s                        0.150s                          0s                             0s                            0s                  0s                      0s  libc.so.6          qsort_r                                         [Unknown]             0x38e90      
H5S_select_release                          0.160s                   0.160s                            0s                        0.160s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S_select_release                              H5Sselect.c           0x4fb967     
H5O__alloc_extend_chunk                     0.160s                   0.160s                            0s                        0.160s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O__alloc_extend_chunk                         H5Oalloc.c            0x388885     
