Function                                     CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module           Function (Full)                                       Source File           Start Address
H5MM_malloc                                    0.120s                   0.120s                            0s                        0.120s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5MM_malloc                                           H5MM.c                0x3728c4     
H5C_protect                                    0.110s                   0.110s                            0s                        0.110s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5C_protect                                           H5C.c                 0xd69c9      
H5MM_memcpy                                    0.100s                   0.100s                            0s                        0.100s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5MM_memcpy                                           H5MM.c                0x373336     
H5FL_fac_free                                  0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FL_fac_free                                         H5FL.c                0x27a5b3     
H5C__flush_single_entry                        0.080s                   0.080s                            0s                        0.080s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5C__flush_single_entry                               H5C.c                 0xe7898      
__memcmp_sse4_1                                0.070s                   0.070s                            0s                        0.070s                          0s                             0s                            0s                  0s                      0s  libc.so.6        __memcmp_sse4_1                                       [Unknown]             0x169fb0     
H5SL_item                                      0.070s                   0.070s                            0s                        0.070s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5SL_item                                             H5SL.c                0x52cc11     
H5C_unprotect                                  0.070s                   0.070s                            0s                        0.070s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5C_unprotect                                         H5C.c                 0xdae21      
NC_hashmapfree                                 0.070s                   0.070s                        0.010s                        0.060s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18  NC_hashmapfree                                        [Unknown]             0x3b092      
__strcmp_sse42                                 0.070s                   0.070s                            0s                        0.070s                          0s                             0s                            0s                  0s                      0s  libc.so.6        __strcmp_sse42                                        [Unknown]             0x13ed90     
H5FL_fac_malloc                                0.070s                   0.070s                            0s                        0.070s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FL_fac_malloc                                       H5FL.c                0x27a873     
H5FL_reg_free                                  0.060s                   0.060s                            0s                        0.060s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FL_reg_free                                         H5FL.c                0x275d87     
H5SL_greater                                   0.060s                   0.060s                            0s                        0.060s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5SL_greater                                          H5SL.c                0x52647f     
free                                           0.050s                   0.050s                            0s                        0.050s                          0s                             0s                            0s                  0s                      0s  libc.so.6        free                                                  [Unknown]             0x85ad0      
H5C_mark_entry_dirty                           0.050s                   0.050s                            0s                        0.050s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5C_mark_entry_dirty                                  H5C.c                 0xcfb9d      
H5F_addr_encode_len                            0.050s                   0.050s                            0s                        0.050s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5F_addr_encode_len                                   H5Fint.c              0x21c3b3     
func@0x50c00                                   0.050s                   0.050s                            0s                        0.050s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   func@0x50c00                                          [Unknown]             0x50c00      
H5C__flush_ring                                0.040s                   0.040s                            0s                        0.040s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5C__flush_ring                                       H5C.c                 0xe6d45      
H5SL_release_common                            0.040s                   0.040s                            0s                        0.040s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5SL_release_common                                   H5SL.c                0x50df6b     
H5C_insert_entry                               0.040s                   0.040s                            0s                        0.040s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5C_insert_entry                                      H5C.c                 0xcd67c      
H5MM_xfree                                     0.040s                   0.040s                            0s                        0.040s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5MM_xfree                                            H5MM.c                0x37317a     
H5SL_new_node                                  0.040s                   0.040s                            0s                        0.040s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5SL_new_node                                         H5SL.c                0x5079a0     
H5I__find_id                                   0.040s                   0.040s                            0s                        0.040s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5I__find_id                                          H5I.c                 0x344b75     
H5P_close                                      0.040s                   0.040s                            0s                        0.040s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5P_close                                             H5Pint.c              0x476314     
H5AC_protect                                   0.040s                   0.040s                            0s                        0.040s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5AC_protect                                          H5AC.c                0x8ca60      
