Function                             CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module             Function (Full)                                       Source File           Start Address
H5FL_blk_free                          0.270s                   0.270s                            0s                        0.270s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_blk_free                                         H5FL.c                0x27789c     
H5FL_blk_find_list                     0.261s                   0.261s                            0s                        0.261s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_blk_find_list                                    H5FL.c                0x276cb1     
H5FL_blk_malloc                        0.260s                   0.260s                            0s                        0.260s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_blk_malloc                                       H5FL.c                0x27737a     
H5CX__push_common                      0.250s                   0.250s                            0s                        0.250s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5CX__push_common                                     H5CX.c                0x123881     
H5D__chunk_write                       0.240s                   0.240s                            0s                        0.240s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5D__chunk_write                                      H5Dchunk.c            0x14c4de     
H5C_create                             0.225s                   0.225s                            0s                        0.225s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5C_create                                            H5C.c                 0xca438      
H5D__chunk_lookup                      0.220s                   0.220s                            0s                        0.220s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5D__chunk_lookup                                     H5Dchunk.c            0x14f0d0     
H5FL_arr_free                          0.220s                   0.220s                            0s                        0.220s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_arr_free                                         H5FL.c                0x27880d     
H5S_combine_hyperslab                  0.220s                   0.220s                            0s                        0.220s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S_combine_hyperslab                                 H5Shyper.c            0x4e2ace     
H5FL_reg_calloc                        0.190s                   0.190s                            0s                        0.190s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_reg_calloc                                       H5FL.c                0x2762f9     
H5S_select_release                     0.181s                   0.181s                            0s                        0.181s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S_select_release                                    H5Sselect.c           0x4fb967     
H5VL_set_vol_wrapper                   0.180s                   0.180s                            0s                        0.180s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5VL_set_vol_wrapper                                  H5VLint.c             0x6b1576     
H5FL_arr_malloc                        0.180s                   0.180s                            0s                        0.180s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_arr_malloc                                       H5FL.c                0x278b70     
H5O_msg_reset_share                    0.180s                   0.180s                            0s                        0.180s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_msg_reset_share                                   H5Omessage.c          0x3f32ce     
H5S_set_extent_real                    0.179s                   0.179s                            0s                        0.179s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S_set_extent_real                                   H5S.c                 0x4b9f58     
H5S__hyper_regular_and_single_block    0.170s                   0.170s                            0s                        0.170s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S__hyper_regular_and_single_block                   H5Shyper.c            0x4dfff1     
H5D__chunk_lock                        0.170s                   0.170s                            0s                        0.170s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5D__chunk_lock                                       H5Dchunk.c            0x150ef5     
H5Dwrite                               0.170s                   0.170s                            0s                        0.170s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5Dwrite                                              H5Dio.c               0x196174     
H5S__extent_copy_real                  0.169s                   0.169s                            0s                        0.169s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S__extent_copy_real                                 H5S.c                 0x4b37a9     
H5S_get_validated_dataspace            0.158s                   0.158s                            0s                        0.158s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S_get_validated_dataspace                           H5S.c                 0x4b14d1     
H5D__chunk_hash_val                    0.150s                   0.150s                            0s                        0.150s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5D__chunk_hash_val                                   H5Dchunk.c            0x14edfe     
H5S__hyper_iter_block                  0.150s                   0.150s                            0s                        0.150s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S__hyper_iter_block                                 H5Shyper.c            0x4c12d5     
H5SL_close_common                      0.150s                   0.150s                            0s                        0.150s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_close_common                                     H5SL.c                0x50e256     
H5S_select_copy                        0.150s                   0.150s                            0s                        0.150s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S_select_copy                                       H5Sselect.c           0x4fb65e     
H5S__hyper_iter_get_seq_list           0.150s                   0.150s                            0s                        0.150s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S__hyper_iter_get_seq_list                          H5Shyper.c            0x4c5f52     
H5VM_memcpyvv                          0.149s                   0.149s                            0s                        0.149s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5VM_memcpyvv                                         H5VM.c                0x6d2451     
H5S__all_bounds                        0.140s                   0.140s                            0s                        0.140s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S__all_bounds                                       H5Sall.c              0x4bd688     
H5I_register                           0.140s                   0.140s                            0s                        0.140s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5I_register                                          H5I.c                 0x33eda7     
H5S__hyper_adjust_u                    0.140s                   0.140s                            0s                        0.140s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S__hyper_adjust_u                                   H5Shyper.c            0x4d3f89     
H5Sselect_hyperslab                    0.140s                   0.140s                            0s                        0.140s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5Sselect_hyperslab                                   H5Shyper.c            0x4e23b7     
H5CX_pop                               0.140s                   0.140s                            0s                        0.140s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5CX_pop                                              H5CX.c                0x12c15f     
H5S__hyper_iter_has_next_block         0.140s                   0.140s                            0s                        0.140s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S__hyper_iter_has_next_block                        H5Shyper.c            0x4c1887     
H5FL_seq_malloc                        0.140s                   0.140s                            0s                        0.140s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_seq_malloc                                       H5FL.c                0x279e0e     
__open64                               0.131s                   0.131s                            0s                        0.131s                          0s                             0s                            0s                  0s                      0s  libc.so.6          __open64                                              [Unknown]             0xef750      
__strcmp_sse42                         0.130s                   0.130s                        0.010s                        0.120s                          0s                             0s                            0s                  0s                      0s  libc.so.6          __strcmp_sse42                                        [Unknown]             0x13ed90     
H5T__path_find_real                    0.130s                   0.130s                            0s                        0.130s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5T__path_find_real                                   H5T.c                 0x55a64e     
H5D__typeinfo_init                     0.130s                   0.130s                            0s                        0.130s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5D__typeinfo_init                                    H5Dio.c               0x198f63     
H5S_copy                               0.130s                   0.130s                            0s                        0.130s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S_copy                                              H5S.c                 0x4b3c46     
H5T_cmp                                0.130s                   0.130s                            0s                        0.130s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5T_cmp                                               H5T.c                 0x5586ad     
H5CX_get_vol_wrap_ctx                  0.120s                   0.120s                            0s                        0.120s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5CX_get_vol_wrap_ctx                                 H5CX.c                0x126503     
_int_free                              0.120s                   0.120s                            0s                        0.120s                          0s                             0s                            0s                  0s                      0s  libc.so.6          _int_free                                             [Unknown]             0x80d80      
H5CX_get_data_transform                0.120s                   0.120s                            0s                        0.120s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5CX_get_data_transform                               H5CX.c                0x128a7e     
__libc_malloc                          0.110s                   0.110s                            0s                        0.110s                          0s                             0s                            0s                  0s                      0s  libc.so.6          __libc_malloc                                         [Unknown]             0x856b0      
H5CX_push                              0.110s                   0.110s                            0s                        0.110s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5CX_push                                             H5CX.c                0x123b4f     
H5S_set_extent_simple                  0.110s                   0.110s                            0s                        0.110s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S_set_extent_simple                                 H5S.c                 0x4b6cb1     
H5CX_set_vol_wrap_ctx                  0.100s                   0.100s                            0s                        0.100s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5CX_set_vol_wrap_ctx                                 H5CX.c                0x125edb     
H5S__extent_release                    0.100s                   0.100s                            0s                        0.100s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S__extent_release                                   H5S.c                 0x4b2184     
H5D__chunk_io_init_selections          0.100s                   0.100s                            0s                        0.100s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5D__chunk_io_init_selections                         H5Dchunk.c            0x145f95     
H5S__all_iter_init                     0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S__all_iter_init                                    H5Sall.c              0x4badbb     
H5I_dec_ref                            0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5I_dec_ref                                           H5I.c                 0x341356     
H5D__chunk_io_init                     0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5D__chunk_io_init                                    H5Dchunk.c            0x1459e0     
H5F_get_intent                         0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5F_get_intent                                        H5Fquery.c            0x226bb8     
H5Screate_simple                       0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5Screate_simple                                      H5S.c                 0x4b7113     
H5D__compact_writevv                   0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5D__compact_writevv                                  H5Dcompact.c          0x160c09     
H5E_clear_stack                        0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5E_clear_stack                                       H5Eint.c              0x1d8506     
H5S__hyper_bounds                      0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S__hyper_bounds                                     H5Shyper.c            0x4cf2b1     
H5D__create_chunk_mem_map_hyper        0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5D__create_chunk_mem_map_hyper                       H5Dchunk.c            0x149974     
H5S_select_intersect_block             0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S_select_intersect_block                            H5Sselect.c           0x500f75     
H5S__all_iter_get_seq_list             0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S__all_iter_get_seq_list                            H5Sall.c              0x4bbf15     
find_in_NCList                         0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18    find_in_NCList                                        [Unknown]             0x3ed7a      
H5Pclose                               0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5Pclose                                              H5P.c                 0x410b63     
H5S_select_iter_get_seq_list           0.080s                   0.080s                            0s                        0.080s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S_select_iter_get_seq_list                          H5Sselect.c           0x4fea79     
H5Dget_space                           0.080s                   0.080s                            0s                        0.080s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5Dget_space                                          H5D.c                 0x12df29     
H5S__hyper_release                     0.080s                   0.080s                            0s                        0.080s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S__hyper_release                                    H5Shyper.c            0x4d1c37     
H5S_get_simple_extent_dims             0.080s                   0.080s                            0s                        0.080s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S_get_simple_extent_dims                            H5S.c                 0x4b542e     
H5S_close                              0.080s                   0.080s                            0s                        0.080s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S_close                                             H5S.c                 0x4b2416     
H5VL__conn_dec_rc                      0.080s                   0.080s                            0s                        0.080s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5VL__conn_dec_rc                                     H5VLint.c             0x6abc45     
H5CX__pop_common                       0.080s                   0.080s                            0s                        0.080s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5CX__pop_common                                      H5CX.c                0x12bf01     
__lxstat64                             0.073s                   0.073s                            0s                        0.073s                          0s                             0s                            0s                  0s                      0s  libc.so.6          __lxstat64                                            [Unknown]             0xef350      
H5S__hyper_intersect_block             0.070s                   0.070s                            0s                        0.070s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S__hyper_intersect_block                            H5Shyper.c            0x4d3583     
H5S__all_is_valid                      0.070s                   0.070s                            0s                        0.070s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S__all_is_valid                                     H5Sall.c              0x4bca0d     
H5P                                    0.070s                   0.070s                            0s                        0.070s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     long long H5P(double, long long, float, long double)  H5Pdxpl.c             0x433495     
H5D__ioinfo_init                       0.070s                   0.070s                            0s                        0.070s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5D__ioinfo_init                                      H5Dio.c               0x198b51     
H5S__hyper_copy                        0.070s                   0.070s                            0s                        0.070s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S__hyper_copy                                       H5Shyper.c            0x4c7f8d     
H5S_select_adjust_u                    0.070s                   0.070s                            0s                        0.070s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S_select_adjust_u                                   H5Sselect.c           0x4fd8e7     
H5D__get_space                         0.070s                   0.070s                            0s                        0.070s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5D__get_space                                        H5Dint.c              0x194279     
H5S_get_select_npoints                 0.070s                   0.070s                            0s                        0.070s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S_get_select_npoints                                H5Sselect.c           0x4fc12b     
H5S_create                             0.070s                   0.070s                            0s                        0.070s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S_create                                            H5S.c                 0x4b1823     
H5S_select_iter_release                0.070s                   0.070s                            0s                        0.070s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S_select_iter_release                               H5Sselect.c           0x4fec39     
H5VL_reset_vol_wrapper                 0.070s                   0.070s                            0s                        0.070s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5VL_reset_vol_wrapper                                H5VLint.c             0x6b1fda     
H5FL_seq_free                          0.070s                   0.070s                            0s                        0.070s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_seq_free                                         H5FL.c                0x279c9f     
H5CX_set_tag                           0.070s                   0.070s                            0s                        0.070s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5CX_set_tag                                          H5CX.c                0x12b4b8     
NC_put_vara                            0.070s                   0.070s                            0s                        0.070s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18    NC_put_vara                                           [Unknown]             0x32e91      
H5VM_array_offset_pre                  0.070s                   0.070s                            0s                        0.070s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5VM_array_offset_pre                                 H5VM.c                0x6d10ac     
H5P_get                                0.070s                   0.070s                            0s                        0.070s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5P_get                                               H5Pint.c              0x474213     
__memcmp_sse4_1                        0.060s                   0.060s                            0s                        0.060s                          0s                             0s                            0s                  0s                      0s  libc.so.6          __memcmp_sse4_1                                       [Unknown]             0x169fb0     
H5I_dec_app_ref                        0.060s                   0.060s                            0s                        0.060s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5I_dec_app_ref                                       H5I.c                 0x34161c     
H5P__cmp_class                         0.060s                   0.060s                            0s                        0.060s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5P__cmp_class                                        H5Pint.c              0x4711f6     
H5O_set_shared                         0.060s                   0.060s                            0s                        0.060s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_set_shared                                        H5Oshared.c           0x4024e4     
H5S_has_extent                         0.060s                   0.060s                            0s                        0.060s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S_has_extent                                        H5S.c                 0x4b9e23     
H5SL_first                             0.060s                   0.060s                            0s                        0.060s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_first                                            H5SL.c                0x52c700     
H5MM__sanity_check_block               0.060s                   0.060s                            0s                        0.060s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5MM__sanity_check_block                              H5MM.c                0x372692     
