Function                              CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module           Function (Full)                       Source File    Start Address
H5FL_arr_free                           0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FL_arr_free                         H5FL.c         0x27880d     
H5S__hyper_intersect_block              0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5S__hyper_intersect_block            H5Shyper.c     0x4d3583     
H5FL_arr_malloc                         0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FL_arr_malloc                       H5FL.c         0x278b70     
H5A__get_ainfo                          0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5A__get_ainfo                        H5Aint.c       0x83a3a      
H5CX__push_common                       0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5CX__push_common                     H5CX.c         0x123881     
H5CX_set_vol_wrap_ctx                   0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5CX_set_vol_wrap_ctx                 H5CX.c         0x125edb     
H5Dread                                 0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5Dread                               H5Dio.c        0x19549e     
H5FL_blk_find_list                      0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FL_blk_find_list                    H5FL.c         0x276cb1     
H5I_object_verify                       0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5I_object_verify                     H5I.c          0x33fcca     
H5P__do_prop                            0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5P__do_prop                          H5Pint.c       0x46d72f     
H5SL_free                               0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5SL_free                             H5SL.c         0x52d00c     
H5S_extent_get_dims                     0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5S_extent_get_dims                   H5S.c          0x4b5152     
H5S_get_select_npoints                  0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5S_get_select_npoints                H5Sselect.c    0x4fc12b     
H5S_select_iter_init                    0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5S_select_iter_init                  H5Sselect.c    0x4fe463     
H5T__path_find_real                     0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5T__path_find_real                   H5T.c          0x55a64e     
H5VM_array_offset_pre                   0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5VM_array_offset_pre                 H5VM.c         0x6d10ac     
OS_BARESYSCALL_DoCallAsmIntel64Linux    0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libc-dynamic.so  OS_BARESYSCALL_DoCallAsmIntel64Linux  [Unknown]      0x70dec      
func@0x4e8c0                            0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   func@0x4e8c0                          [Unknown]      0x4e8c0      
func@0x4fd70                            0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   func@0x4fd70                          [Unknown]      0x4fd70      
__memcmp_sse4_1                         0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libc.so.6        __memcmp_sse4_1                       [Unknown]      0x169fb0     
H5T_cmp                                 0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5T_cmp                               H5T.c          0x5586ad     
H5Screate_simple                        0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5Screate_simple                      H5S.c          0x4b7113     
H5S__hyper_regular_and_single_block     0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5S__hyper_regular_and_single_block   H5Shyper.c     0x4dfff1     
H5F_shared_block_read                   0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5F_shared_block_read                 H5Fio.c        0x22160d     
H5VM_memcpyvv                           0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5VM_memcpyvv                         H5VM.c         0x6d2451     
_int_free                               0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libc.so.6        _int_free                             [Unknown]      0x80d80      
H5S__hyper_iter_block                   0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5S__hyper_iter_block                 H5Shyper.c     0x4c12d5     
H5FL_seq_malloc                         0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FL_seq_malloc                       H5FL.c         0x279e0e     
NC4_get_vara                            0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18  NC4_get_vara                          [Unknown]      0x918da      
nc4_find_nc_grp_h5                      0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18  nc4_find_nc_grp_h5                    [Unknown]      0xde213      
H5P__create                             0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5P__create                           H5Pint.c       0x46baf1     
H5CX_get_data_transform                 0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5CX_get_data_transform               H5CX.c         0x128a7e     
H5FD_sec2_read                          0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FD_sec2_read                        H5FDsec2.c     0x271162     
H5B_find                                0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5B_find                              H5B.c          0x96211      
H5S__hyper_iter_get_seq_list_single     0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5S__hyper_iter_get_seq_list_single   H5Shyper.c     0x4c539a     
H5D__chunk_lock                         0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5D__chunk_lock                       H5Dchunk.c     0x150ef5     
H5S__hyper_copy                         0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5S__hyper_copy                       H5Shyper.c     0x4c7f8d     
H5D__btree_cmp3                         0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5D__btree_cmp3                       H5Dbtree.c     0x13448a     
H5open                                  0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5open                                H5.c           0x548b1      
H5S_combine_hyperslab                   0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5S_combine_hyperslab                 H5Shyper.c     0x4e2ace     
H5AC_tag                                0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5AC_tag                              H5AC.c         0x90544      
H5Sclose                                0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5Sclose                              H5S.c          0x4b26cf     
find_in_NCList                          0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18  find_in_NCList                        [Unknown]      0x3ed7a      
H5SL_next                               0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5SL_next                             H5SL.c         0x52c83c     
rand                                    0.004s                   0.004s                            0s                        0.004s                          0s                             0s                            0s                  0s                      0s  libc.so.6        rand                                  [Unknown]      0x3ab30      
H5O__assert                             0.003s                   0.003s                            0s                        0.003s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5O__assert                           H5Odbg.c       0x3b7e85     
nclistget                               0.000s                   0.000s                            0s                        0.000s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18  nclistget                             [Unknown]      0x39836      
