Function                                  CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module             Function (Full)                           Source File           Start Address
H5FL_blk_malloc                             1.299s                   1.299s                            0s                        1.299s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_blk_malloc                           H5FL.c                0x27737a     
H5SL_greater                                1.240s                   1.240s                        0.010s                        1.230s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_greater                              H5SL.c                0x52647f     
H5A__attr_cmp_name_inc                      1.210s                   1.210s                            0s                        1.210s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5A__attr_cmp_name_inc                    H5Aint.c              0x82611      
qsort_r                                     1.120s                   1.120s                        0.010s                        1.110s                          0s                             0s                            0s                  0s                      0s  libc.so.6          qsort_r                                   [Unknown]             0x38e90      
H5HF_dtable_lookup                          1.110s                   1.110s                            0s                        1.110s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5HF_dtable_lookup                        H5HFdtable.c          0x2f7e83     
H5O_sdspace_encode                          1.090s                   1.090s                            0s                        1.090s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_sdspace_encode                        H5Osdspace.c          0x3ff6c4     
H5MM_malloc                                 1.048s                   1.048s                            0s                        1.048s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5MM_malloc                               H5MM.c                0x3728c4     
H5FL_blk_free                               1.019s                   1.019s                            0s                        1.019s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_blk_free                             H5FL.c                0x27789c     
H5AC__verify_tag                            0.968s                   0.968s                            0s                        0.968s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5AC__verify_tag                          H5AC.c                0x915b2      
H5C__unpin_entry_real                       0.951s                   0.951s                            0s                        0.951s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5C__unpin_entry_real                     H5C.c                 0xdfba6      
H5I__find_id                                0.901s                   0.901s                            0s                        0.901s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5I__find_id                              H5I.c                 0x344b75     
pwrite                                      0.889s                   0.889s                        0.026s                        0.863s                          0s                             0s                            0s                  0s                      0s  libc.so.6          pwrite                                    [Unknown]             0xee0d0      
H5T_close_real                              0.870s                   0.870s                            0s                        0.870s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5T_close_real                            H5T.c                 0x5571a5     
H5B2_open                                   0.839s                   0.839s                            0s                        0.839s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5B2_open                                 H5B2.c                0xa0b26      
write_attlist                               0.820s                   0.820s                            0s                        0.820s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18    write_attlist                             [Unknown]             0x8050e      
H5S_select_release                          0.820s                   0.820s                            0s                        0.820s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S_select_release                        H5Sselect.c           0x4fb967     
H5FL_fac_malloc                             0.781s                   0.781s                            0s                        0.781s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_fac_malloc                           H5FL.c                0x27a873     
H5FL_blk_find_list                          0.750s                   0.750s                            0s                        0.750s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_blk_find_list                        H5FL.c                0x276cb1     
H5C_mark_entry_dirty                        0.742s                   0.742s                            0s                        0.742s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5C_mark_entry_dirty                      H5C.c                 0xcfb9d      
H5C_get_ignore_tags                         0.730s                   0.730s                            0s                        0.730s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5C_get_ignore_tags                       H5Ctag.c              0x11ee4f     
__strlen_sse2_pminub                        0.728s                   0.728s                            0s                        0.728s                          0s                             0s                            0s                  0s                      0s  libc.so.6          __strlen_sse2_pminub                      [Unknown]             0x16f680     
H5B2_find                                   0.720s                   0.720s                            0s                        0.720s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5B2_find                                 H5B2.c                0xa1ac4      
__strcpy_sse2_unaligned                     0.690s                   0.690s                            0s                        0.690s                          0s                             0s                            0s                  0s                      0s  libc.so.6          __strcpy_sse2_unaligned                   [Unknown]             0x9a6e0      
H5_trace                                    0.688s                   0.688s                            0s                        0.688s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5_trace                                  H5trace.c             0x5891a      
H5O__attr_create                            0.679s                   0.679s                        0.010s                        0.669s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O__attr_create                          H5Oattribute.c        0x397ffb     
H5HF_close                                  0.663s                   0.663s                            0s                        0.663s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5HF_close                                H5HF.c                0x2da07b     
H5O_msg_read_oh                             0.658s                   0.658s                            0s                        0.658s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_msg_read_oh                           H5Omessage.c          0x3ee1ca     
H5G_loc_real                                0.651s                   0.651s                            0s                        0.651s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5G_loc_real                              H5Gloc.c              0x2b4e34     
H5HF__man_insert                            0.647s                   0.647s                            0s                        0.647s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5HF__man_insert                          H5HFman.c             0x30ddfb     
H5FS__sinfo_unlock                          0.642s                   0.642s                            0s                        0.642s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FS__sinfo_unlock                        H5FSsection.c         0x28b7aa     
H5A__create                                 0.642s                   0.642s                            0s                        0.642s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5A__create                               H5Aint.c              0x7ab09      
H5AC_tag                                    0.640s                   0.640s                            0s                        0.640s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5AC_tag                                  H5AC.c                0x90544      
H5T__path_find_real                         0.622s                   0.622s                            0s                        0.622s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5T__path_find_real                       H5T.c                 0x55a64e     
H5O__msg_reset_real                         0.619s                   0.619s                            0s                        0.619s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O__msg_reset_real                       H5Omessage.c          0x3eeb68     
put_att_grpa                                0.601s                   0.601s                            0s                        0.601s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18    put_att_grpa                              [Unknown]             0x7ff4c      
H5O_attr_encode                             0.590s                   0.590s                            0s                        0.590s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_attr_encode                           H5Oattr.c             0x395430     
H5O_protect                                 0.590s                   0.590s                            0s                        0.590s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_protect                               H5Oint.c              0x3d7d24     
H5I_register                                0.580s                   0.580s                            0s                        0.580s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5I_register                              H5I.c                 0x33eda7     
H5F_get_intent                              0.570s                   0.570s                            0s                        0.570s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5F_get_intent                            H5Fquery.c            0x226bb8     
H5A__shared_free                            0.568s                   0.568s                            0s                        0.568s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5A__shared_free                          H5Aint.c              0x7fe91      
H5CX_set_tag                                0.553s                   0.553s                        0.010s                        0.543s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5CX_set_tag                              H5CX.c                0x12b4b8     
H5SM__type_to_flag                          0.550s                   0.550s                            0s                        0.550s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SM__type_to_flag                        H5SM.c                0x52ee67     
H5O__attr_exists                            0.550s                   0.550s                            0s                        0.550s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O__attr_exists                          H5Oattribute.c        0x39fb80     
H5FL_fac_free                               0.550s                   0.550s                        0.010s                        0.540s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FL_fac_free                             H5FL.c                0x27a5b3     
H5B2__protect_internal                      0.549s                   0.549s                            0s                        0.549s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5B2__protect_internal                    H5B2internal.c        0xbce5f      
H5FS__sect_find_node                        0.540s                   0.540s                            0s                        0.540s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FS__sect_find_node                      H5FSsection.c         0x290b96     
H5O_msg_exists_oh                           0.540s                   0.540s                            0s                        0.540s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_msg_exists_oh                         H5Omessage.c          0x3f0050     
H5O_msg_raw_size                            0.531s                   0.531s                            0s                        0.531s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_msg_raw_size                          H5Omessage.c          0x3f1eb2     
H5B2_modify                                 0.530s                   0.530s                            0s                        0.530s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5B2_modify                               H5B2.c                0xa4b67      
H5T__initiate_copy                          0.510s                   0.510s                            0s                        0.510s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5T__initiate_copy                        H5T.c                 0x554278     
H5B2__insert                                0.510s                   0.510s                            0s                        0.510s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5B2__insert                              H5B2int.c             0xb9bf2      
H5B2__insert_internal                       0.509s                   0.509s                            0s                        0.509s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5B2__insert_internal                     H5B2internal.c        0xbdbf1      
H5A__dense_insert                           0.500s                   0.500s                            0s                        0.500s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5A__dense_insert                         H5Adense.c            0x71578      
H5A__get_ainfo                              0.489s                   0.489s                            0s                        0.489s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5A__get_ainfo                            H5Aint.c              0x83a3a      
H5T__complete_copy                          0.479s                   0.479s                            0s                        0.479s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5T__complete_copy                        H5T.c                 0x554b42     
H5B2__insert_leaf                           0.478s                   0.478s                            0s                        0.478s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5B2__insert_leaf                         H5B2leaf.c            0xc3b1c      
H5B2__iterate_node                          0.470s                   0.470s                            0s                        0.470s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5B2__iterate_node                        H5B2int.c             0xba166      
locate                                      0.470s                   0.470s                            0s                        0.470s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18    locate                                    [Unknown]             0x3a8d7      
H5B2__hdr_protect                           0.460s                   0.460s                            0s                        0.460s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5B2__hdr_protect                         H5B2hdr.c             0xb0909      
H5HF_open                                   0.460s                   0.460s                        0.010s                        0.450s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5HF_open                                 H5HF.c                0x2d7abc     
H5T_get_size                                0.450s                   0.450s                            0s                        0.450s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5T_get_size                              H5T.c                 0x5585a2     
H5FS_sect_add                               0.450s                   0.450s                            0s                        0.450s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5FS_sect_add                             H5FSsection.c         0x28fc42     
H5VL_reset_vol_wrapper                      0.448s                   0.448s                        0.010s                        0.438s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5VL_reset_vol_wrapper                    H5VLint.c             0x6b1fda     
H5O_ainfo_copy                              0.440s                   0.440s                            0s                        0.440s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_ainfo_copy                            H5Oainfo.c            0x3856bb     
H5T_cmp                                     0.440s                   0.440s                            0s                        0.440s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5T_cmp                                   H5T.c                 0x5586ad     
H5MM_xfree                                  0.440s                   0.440s                            0s                        0.440s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5MM_xfree                                H5MM.c                0x37317a     
H5SL_remove_first                           0.430s                   0.430s                            0s                        0.430s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5SL_remove_first                         H5SL.c                0x5222b3     
H5AC_mark_entry_dirty                       0.430s                   0.430s                            0s                        0.430s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5AC_mark_entry_dirty                     H5AC.c                0x8b251      
H5O_dtype_encode_helper                     0.430s                   0.430s                            0s                        0.430s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_dtype_encode_helper                   H5Odtype.c            0x3c0538     
H5O_msg_reset_share                         0.421s                   0.421s                            0s                        0.421s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5O_msg_reset_share                       H5Omessage.c          0x3f32ce     
calloc                                      0.420s                   0.420s                            0s                        0.420s                          0s                             0s                            0s                  0s                      0s  libc.so.6          calloc                                    [Unknown]             0x860d0      
H5CX__push_common                           0.420s                   0.420s                            0s                        0.420s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5CX__push_common                         H5CX.c                0x123881     
H5S__extent_release                         0.420s                   0.420s                            0s                        0.420s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5S__extent_release                       H5S.c                 0x4b2184     
nclistget                                   0.420s                   0.420s                            0s                        0.420s                          0s                             0s                            0s                  0s                      0s  libnetcdf.so.18    nclistget                                 [Unknown]             0x39836      
free                                        0.420s                   0.420s                            0s                        0.420s                          0s                             0s                            0s                  0s                      0s  libc.so.6          free                                      [Unknown]             0x85ad0      
H5RS_dup                                    0.411s                   0.411s                            0s                        0.411s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5RS_dup                                  H5RS.c                0x4b0798     
H5A__set_version                            0.410s                   0.410s                            0s                        0.410s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200     H5A__set_version                          H5Aint.c              0x83f4f      
