Function                              CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module           Function (Full)                       Source File        Start Address
H5G__traverse_real                      0.020s                   0.020s                        0.010s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5G__traverse_real                    H5Gtraverse.c      0x2d58e5     
H5VL_reset_vol_wrapper                  0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5VL_reset_vol_wrapper                H5VLint.c          0x6b1fda     
H5T_get_class                           0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5T_get_class                         H5T.c              0x54cf65     
H5FS__sect_link_size                    0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FS__sect_link_size                  H5FSsection.c      0x28e081     
H5D__build_file_prefix                  0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5D__build_file_prefix                H5Dint.c           0x185b7a     
H5I_dec_ref                             0.020s                   0.020s                        0.010s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5I_dec_ref                           H5I.c              0x341356     
H5I_get_type                            0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5I_get_type                          H5I.c              0x33fe49     
H5S_select_hyperslab                    0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5S_select_hyperslab                  H5Shyper.c         0x4e0db6     
H5S_select_shape_same                   0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5S_select_shape_same                 H5Sselect.c        0x4ffc80     
H5T                                     0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   short H5T(long double, ..., float)    H5Tref.c           0x66baec     
H5T_set_loc                             0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5T_set_loc                           H5T.c              0x55d8ec     
H5VL__native_attr_close                 0.020s                   0.020s                        0.010s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5VL__native_attr_close               H5VLnative_attr.c  0x6b7887     
H5_trace                                0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5_trace                              H5trace.c          0x5891a      
pread                                   0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libc.so.6        pread                                 [Unknown]          0xee070      
H5VL_set_vol_wrapper                    0.020s                   0.020s                        0.010s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5VL_set_vol_wrapper                  H5VLint.c          0x6b1576     
H5AC_unprotect                          0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5AC_unprotect                        H5AC.c             0x8d8ef      
H5T__path_find_real                     0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5T__path_find_real                   H5T.c              0x55a64e     
H5FL_fac_free                           0.020s                   0.020s                        0.010s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FL_fac_free                         H5FL.c             0x27a5b3     
__strcmp_sse42                          0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libc.so.6        __strcmp_sse42                        [Unknown]          0x13ed90     
H5I_object                              0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5I_object                            H5I.c              0x33f7e6     
H5O_ainfo_copy                          0.020s                   0.020s                        0.010s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5O_ainfo_copy                        H5Oainfo.c         0x3856bb     
H5A__iterate                            0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5A__iterate                          H5Aint.c           0x875b9      
H5D_oloc                                0.020s                   0.020s                        0.010s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5D_oloc                              H5Dint.c           0x18bd12     
H5SL_insert                             0.020s                   0.020s                        0.010s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5SL_insert                           H5SL.c             0x50e932     
H5S_select_copy                         0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5S_select_copy                       H5Sselect.c        0x4fb65e     
H5T__initiate_copy                      0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5T__initiate_copy                    H5T.c              0x554278     
[Outside any known module]              0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  [Unknown]        [Outside any known module]            [Unknown]          0            
H5A__copy                               0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5A__copy                             H5Aint.c           0x7fa47      
H5FL_blk_find_list                      0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FL_blk_find_list                    H5FL.c             0x276cb1     
H5F_get_intent                          0.018s                   0.018s                        0.010s                        0.008s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5F_get_intent                        H5Fquery.c         0x226bb8     
H5VM_array_down                         0.012s                   0.012s                        0.012s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5VM_array_down                       H5VM.c             0x6d0f1a     
create_sample_file                      0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  lt-tst_files2    create_sample_file                    [Unknown]          0x40118e     
H5MM_malloc                             0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5MM_malloc                           H5MM.c             0x3728c4     
H5A__open_common                        0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5A__open_common                      H5Aint.c           0x7c11e      
H5O__alloc_extend_chunk                 0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5O__alloc_extend_chunk               H5Oalloc.c         0x388885     
H5AC_get_entry_status                   0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5AC_get_entry_status                 H5AC.c             0x8a6f0      
H5T_is_relocatable                      0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5T_is_relocatable                    H5T.c              0x55e288     
H5SL_new_node                           0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5SL_new_node                         H5SL.c             0x5079a0     
H5O_msg_read_oh                         0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5O_msg_read_oh                       H5Omessage.c       0x3ee1ca     
H5S_copy                                0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5S_copy                              H5S.c              0x4b3c46     
H5C_insert_entry                        0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5C_insert_entry                      H5C.c              0xcd67c      
H5O_msg_is_shared                       0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5O_msg_is_shared                     H5Omessage.c       0x3f2d7a     
H5O__alloc_find_best_nonnull            0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5O__alloc_find_best_nonnull          H5Oalloc.c         0x38a036     
H5FS_sect_find                          0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FS_sect_find                        H5FSsection.c      0x291617     
H5O__copy_mesg                          0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5O__copy_mesg                        H5Omessage.c       0x3f46ee     
