Function                              CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module           Function (Full)                       Source File           Start Address
H5S__hyper_iter_init                    0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5S__hyper_iter_init                  H5Shyper.c            0x4c0321     
H5FL_seq_malloc                         0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5FL_seq_malloc                       H5FL.c                0x279e0e     
H5T_path_find                           0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5T_path_find                         H5T.c                 0x55a375     
H5D__chunk_io_term                      0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5D__chunk_io_term                    H5Dchunk.c            0x14d3d1     
H5Sselect_hyperslab                     0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5Sselect_hyperslab                   H5Shyper.c            0x4e23b7     
H5E_clear_stack                         0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5E_clear_stack                       H5Eint.c              0x1d8506     
H5D__chunk_lock                         0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5D__chunk_lock                       H5Dchunk.c            0x150ef5     
H5Dwrite                                0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5Dwrite                              H5Dio.c               0x196174     
H5S_select_copy                         0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5S_select_copy                       H5Sselect.c           0x4fb65e     
H5T_cmp                                 0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5T_cmp                               H5T.c                 0x5586ad     
func@0x4cd20                            0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   func@0x4cd20                          [Unknown]             0x4cd20      
OS_RWLockAcquireRead                    0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libc-dynamic.so  OS_RWLockAcquireRead                  [Unknown]             0x6ca90      
H5AC_protect                            0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5AC_protect                          H5AC.c                0x8ca60      
H5O_pin                                 0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5O_pin                               H5Oint.c              0x3d888d     
H5O_msg_reset_share                     0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5O_msg_reset_share                   H5Omessage.c          0x3f32ce     
H5VL_reset_vol_wrapper                  0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5VL_reset_vol_wrapper                H5VLint.c             0x6b1fda     
H5AC_tag                                0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5AC_tag                              H5AC.c                0x90544      
H5Sget_simple_extent_dims               0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5Sget_simple_extent_dims             H5S.c                 0x4b4d75     
__memset_sse2                           0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libc.so.6        __memset_sse2                         [Unknown]             0x8f970      
H5I__find_id                            0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5I__find_id                          H5I.c                 0x344b75     
H5S__hyper_offset                       0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5S__hyper_offset                     H5Shyper.c            0x4cf7b6     
H5CX_set_tag                            0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5CX_set_tag                          H5CX.c                0x12b4b8     
H5VL__native_dataset_get                0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5VL__native_dataset_get              H5VLnative_dataset.c  0x6b9a29     
H5Sclose                                0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5Sclose                              H5S.c                 0x4b26cf     
H5_trace                                0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libhdf5.so.200   H5_trace                              H5trace.c             0x5891a      
